LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,INTERNAL-ID,GRADE,PHONE_NUMBER,GENDER,GRADYEAR,ADDRESS,SECOND_PHONE,BIRTHDATE,THIRD_PHONE,EMAIL_ADDRESS,DUAL-CREDIT-ELIGIBLE,PROGRAM-OF-STUDY
FUENTES-LOPEZ,BRENDON,Lashon,15150,192997,9,(279) 486-1673,M,2025,8398 La Sierra Street,(920) 930-5735,5/4/2007,(778) 357-0790,demmel@icloud.com,FALSE,Engineering
GALLAGHER,DANNA,Jude,22271,234000,9,(656) 547-0829,F,2025,677 East Peg Shop Street,(571) 976-6833,6/21/2007,(512) 343-3738,greear@hotmail.com,FALSE,Cosmetology 
GALLAGHER,CHRISTOPHER,Julian,5320,114367,10,(956) 668-8964,M,2024,951 Sunset St.,(614) 292-9101,8/9/2006,(952) 760-2435,yenya@aol.com,FALSE,Programming and Software Development
GALVEZ,ERYN,Juan,22178,233510,12,(962) 996-1061,F,2022,70 Depot St.,(952) 760-1874,9/18/2004,(873) 671-6152,nanop@live.com,FALSE,Emergency Services
GARCIA,MAKADIR,Anthony,34608,291698,12,(457) 925-0869,F,2022,1 Big Rock Cove Street,(584) 315-6477,7/26/2004,(511) 588-6306,andale@live.com,FALSE,Healthcare Informatics
GARCIA,DESMOND,Matilda,34531,291373,11,(740) 968-3275,M,2023,11 Blue Spring Street,(820) 722-8022,2/26/2005,(947) 557-4958,boein@msn.com,FALSE,Emergency Services
GARCIA,BRIAN,Vincent,34224,290075,11,(721) 546-7868,M,2023,13 Kent St.,(406) 470-8100,10/1/2005,(623) 851-1312,yenya@aol.com,FALSE,Biomedical Science
GARCIA,KANTAPONG,Ricardo,34038,289286,10,(839) 482-2576,M,2024,136 Country Club St.,(929) 543-5740,10/6/2006,(860) 759-6251,storerm@hotmail.com,FALSE,Accounting and Financial Services
GARCIA,ANAYA,Justin,33221,285793,9,(821) 674-3637,F,2025,2 Talbot St.,(903) 255-0641,7/5/2007,(784) 664-3816,madler@att.net,FALSE,Electrical
GARCIA,MYASIA,Aaron,32860,284236,11,(345) 486-2423,F,2023,21 Plumb Branch Lane,(801) 334-4441,8/15/2005,(322) 773-5954,giafly@msn.com,FALSE,Legal Studies
GARCIA,JAVOY,Dean,28910,266606,9,(932) 975-0359,M,2025,4 Stillwater Street,(917) 243-5419,5/4/2007,(225) 682-4163,eabrown@yahoo.com,FALSE,Architectural Design
GARCIA,ERIC,Claudia,27952,262151,9,(739) 520-6613,M,2025,52 Edgefield St.,(247) 843-1078,8/22/2007,(878) 596-1596,thomasj@mac.com,FALSE,Animal Science
GARCIA CRUZ,ANTHONY,Marcella,26608,255771,9,(530) 371-8487,M,2025,59 Madison Avenue,(483) 941-2086,7/17/2007,(283) 219-9707,aprakash@verizon.net,FALSE,Architectural Design
GARZA,JAVARIUS,Caprice,32071,280803,9,(215) 817-6380,M,2025,252 Honey Creek St.,(869) 247-1307,7/22/2007,(401) 845-7729,monkeydo@icloud.com,FALSE,Architectural Design
GAUCIN,MARQUISTE,Louisa,22255,233915,11,(593) 203-1995,M,2023,69 Bridgeton Drive,(989) 592-9858,11/3/2005,(870) 663-7178,jorgb@verizon.net,FALSE,Applied Agricultural Engineering
GIBSON,YENITZA,Amity,15267,193741,9,(931) 843-0415,F,2025,82 Wakehurst Street,(226) 764-5567,2/26/2007,(470) 844-3719,comdig@mac.com,FALSE,Accounting and Financial Services
GIBSON,GABRIELA,Tobias,14864,191167,9,(966) 339-6334,F,2025,8730 Stillwater Street,(716) 651-3164,10/22/2007,(736) 384-2647,amichalo@att.net,FALSE,Plumbing and Piperfitting
GODINEZ GODINEZ,JO-ELLA,Bram,18569,213668,10,(826) 224-8102,F,2024,7745 Clark St.,(588) 656-1137,10/17/2006,(233) 325-6114,moxfulder@aol.com,FALSE,Animal Science
GOMEZ JIMENEZ,LIZBETH,Porter,34558,291487,10,(494) 400-5882,F,2024,1 N. Manor Street,(602) 670-8344,11/16/2006,(298) 920-2826,kostas@aol.com,FALSE,Architectural Design
GONZALES,BRITNEY,Amelia,19611,219581,12,(353) 700-1684,F,2022,731 S. Front Ave.,(829) 485-5768,2/25/2004,(497) 706-0499,stefano@gmail.com,FALSE,Applied Agricultural Engineering
GONZALES,EMELY,Caylen,15265,193728,9,(630) 885-7693,F,2025,820 Henry Street,(862) 914-5264,8/17/2007,(703) 267-9273,fhirsch@gmail.com,FALSE,Diesel and Heavy Equipment
GONZALEZ,DERRICK,Oscar,30144,272236,11,(992) 776-9136,M,2023,37 Depot Avenue,(300) 240-0051,11/1/2005,(633) 721-5417,dmiller@me.com,FALSE,Welding
GONZALEZ,FELIX,Caleb,24362,244738,10,(468) 438-9400,M,2024,623 Manor Ave.,(841) 325-1580,8/16/2006,(580) 683-6797,bruck@hotmail.com,FALSE,Applied Agricultural Engineering
GONZALEZ,MASON,George,20391,223905,12,(429) 528-8339,M,2022,7222 Wayne St.,(641) 898-5155,11/8/2004,(725) 517-8559,philb@sbcglobal.net,FALSE,Design and Multimedia Arts
GONZALEZ,MADILYNN,Julina,10253,158771,11,(504) 684-3542,F,2023,8917 Virginia Avenue,(311) 481-6363,5/2/2005,(427) 518-4597,krueger@yahoo.com,FALSE,Healthcare Diagnostics
GONZALEZ,KENYSHA,Joan,10245,158709,10,(652) 327-1542,F,2024,8927 Sheffield Avenue,(304) 819-4740,5/24/2006,(866) 612-6215,bester@live.com,FALSE,Healthcare Therapeutic
GOODWIN,QUERRELL,Beck,32720,283630,10,(460) 963-1305,M,2024,226 Fairway Avenue,(211) 576-7367,2/6/2006,(789) 739-6457,luebke@att.net,FALSE,Culinary Arts
GOODWIN,ANAHI,Justin,14783,190645,9,(359) 783-1325,F,2025,8852 Sherman St.,(340) 370-8754,12/3/2007,(673) 983-7952,natepuri@hotmail.com,FALSE,Family and Consumer Services
GRANADOS,KRYSTA,Grey,14677,189961,10,(686) 766-9748,F,2024,89 North San Juan St.,(648) 452-3915,6/22/2006,(334) 822-0784,wikinerd@live.com,FALSE,Plumbing and Piperfitting
GRAVES,RHAYLA,Coy,28467,264555,9,(462) 324-6746,F,2025,483 Pacific Drive,(741) 341-8654,7/12/2007,(222) 903-6100,heine@me.com,FALSE,Diesel and Heavy Equipment
GRAVES,ERIC,Kate,15226,193481,9,(418) 791-4340,M,2025,836 Johnson Ave.,(994) 727-5837,10/10/2007,(941) 814-5203,amimojo@optonline.net,FALSE,Legal Studies
GRIFFITH,REBECA,Kingston,34455,291053,9,(593) 742-9002,F,2025,12 6th Drive,(252) 951-6001,4/1/2007,(547) 914-3662,wortmanj@hotmail.com,FALSE,Digital Communications
GRIFFITH,ALAYCIA,Claudia,3817,96873,11,(944) 862-7995,F,2023,9819 Windfall Street,(309) 274-4251,4/17/2005,(408) 902-9725,vlefevre@icloud.com,FALSE,Engineering
GUEVARA,NATHANIEL,Erin,15520,195340,10,(583) 313-5821,M,2024,818 South Oakland St.,(470) 744-9086,7/3/2006,(329) 904-8013,fluffy@yahoo.ca,FALSE,Law Enforcement
GUTIERREZ,KAYLA,David,33259,285956,12,(634) 754-6650,F,2022,2 North Strawberry Street,(340) 424-8388,12/19/2004,(463) 973-6074,citadel@hotmail.com,FALSE,Healthcare Therapeutic
GUTIERREZ,BRAYLYNN,Warren,25938,252530,10,(811) 225-1595,F,2024,6 Littleton Court,(226) 498-1807,4/3/2006,(494) 481-9414,cfhsoft@optonline.net,FALSE,Digital Communications
GUTIERREZ,TERRY,William,6174,123205,10,(473) 327-5996,M,2024,9384 N. St Paul Dr.,(362) 372-6627,9/9/2006,(657) 285-7721,campware@aol.com,FALSE,Applied Agricultural Engineering
HALL,DOMINIC,Coralie,33590,287376,9,(775) 997-5801,M,2025,18 Westminster Street,(274) 641-1918,6/16/2007,(263) 752-9625,wkrebs@hotmail.com,FALSE,Programming and Software Development
HALL,ANTONIO,Zane,27377,259441,10,(210) 760-8133,M,2024,54 Court St.,(962) 288-5784,3/7/2006,(434) 270-2450,atmarks@verizon.net,FALSE,Animal Science
HAWKINS,NELSON,James,31216,277035,10,(501) 559-7644,M,2024,3 Jackson Ave.,(547) 308-2073,9/19/2006,(960) 217-4828,unreal@yahoo.ca,FALSE,Emergency Services
HAWKINS,MIA,Louis,27650,260731,9,(989) 933-3136,F,2025,524 Carson Ave.,(848) 842-5159,1/14/2007,(596) 897-6409,kmself@live.com,FALSE,Nursing Science
HAYNES,MAGALY,Bree,20405,223982,12,(796) 744-1813,F,2022,7214 Deerfield Rd.,(433) 782-6306,5/6/2004,(968) 785-9278,balchen@gmail.com,FALSE,Family and Consumer Services
HAYNES,VINCENT,Coralie,5772,119126,12,(209) 995-0902,M,2022,94 Henry Smith St.,(577) 877-3963,10/14/2004,(901) 370-6125,mfburgo@live.com,FALSE,Biomedical Science
HENRY,YARELYS,Porter,15247,193614,9,(515) 224-4784,F,2025,8258 W. Court Dr.,(918) 759-0780,7/24/2007,(783) 643-8891,symbolic@icloud.com,FALSE,Digital Communications
HENRY,ZENIA,Arthur,14968,191835,9,(302) 845-2807,F,2025,8640 E. Trout Street,(359) 816-8648,8/23/2007,(833) 990-2889,ahuillet@msn.com,FALSE,Cybersecurity
HERNANDEZ,YAHAIRA,Ellen,31177,276861,9,(635) 557-4877,F,2025,3 Ridgewood Dr.,(882) 666-7708,12/6/2007,(268) 926-3452,eurohack@outlook.com,FALSE,Healthcare Informatics
HERNANDEZ,VALERIE,Raine,14752,190445,9,(496) 514-7296,F,2025,887 Ivy St.,(869) 884-2028,11/1/2007,(259) 761-9483,adillon@live.com,FALSE,Engineering
HERNANDEZ,BRADLEY,Sutton,6428,125714,10,(977) 338-5127,M,2024,928 Wild Rose Ave.,(922) 259-8350,5/9/2006,(698) 897-2758,ntegrity@mac.com,FALSE,Architectural Design
HERNANDEZ REYES,DAVID,Ellison,29516,269385,9,(422) 424-0826,M,2025,378 Sage Road,(968) 210-9665,2/24/2007,(563) 457-0658,curly@att.net,FALSE,Emergency Services
HERNANDEZ-ZARAGOZA,TREY,Lilibeth,27029,257787,12,(300) 261-6231,M,2022,57 Brookside St.,(732) 608-8101,2/3/2004,(249) 288-8796,scottlee@optonline.net,FALSE,Biomedical Science
HERRERA,TIA,Dawn,34286,290338,11,(366) 227-2758,F,2023,13 East Jackson Lane,(795) 931-9015,10/19/2005,(555) 588-4186,galbra@yahoo.com,FALSE,Culinary Arts
HOUGHTON,NANCY,Blake,15625,196000,9,(357) 893-6619,F,2025,7977 Sulphur Springs Dr.,(841) 230-8234,4/16/2007,(262) 645-0689,crobles@outlook.com,FALSE,Teaching and Training
HOUGHTON,ERIK,Dean,5789,119302,11,(651) 367-8728,M,2023,94 Glenlake Street,(317) 266-8444,10/26/2005,(862) 788-1558,melnik@optonline.net,FALSE,Culinary Arts
HOWELL,DANIELA,Naomi,34530,291369,9,(452) 992-0339,F,2025,11 Pineknoll Ave.,(377) 255-0819,3/1/2007,(487) 375-7054,lstaf@me.com,FALSE,Law Enforcement
HOWELL,ORLANDO,Denver,15581,195723,9,(894) 586-6204,M,2025,8061 Charles Ave.,(487) 569-7371,4/26/2007,(240) 761-9335,symbolic@sbcglobal.net,FALSE,Diesel and Heavy Equipment
JAIMES,JANECEIA,Rylie,33272,286012,10,(363) 980-2367,F,2024,2 Illinois Lane,(962) 636-3488,2/25/2006,(986) 985-3318,hahiss@gmail.com,FALSE,Culinary Arts
JENKINS,ANTHONY,Sharon,26473,255121,12,(546) 363-8725,M,2022,594 Paris Hill Drive,(737) 873-3173,1/18/2004,(990) 268-1368,hellfire@hotmail.com,FALSE,Digital Communications
JENKINS,ALAN,Anthony,15247,193614,9,(926) 441-9193,M,2025,8248 Beaver Ridge Street,(724) 408-3044,10/22/2007,(208) 567-7598,okroeger@att.net,FALSE,Healthcare Therapeutic
JIMENEZ,JORDAN,Abe,23640,241084,12,(441) 862-1541,M,2022,635 High Noon St.,(976) 666-0906,2/25/2004,(756) 597-1357,jamuir@live.com,TRUE,Electrical
JOHNSON,ABRAHAM,Hugh,31688,279121,12,(652) 410-1023,M,2022,293 South Green Ave.,(600) 809-3862,1/1/2004,(558) 281-0410,helger@msn.com,TRUE,Cybersecurity
JOHNSON,JERSON,Kathryn,6280,124258,10,(637) 861-0113,M,2024,9311 Rocky River St.,(637) 773-6564,8/12/2006,(780) 393-3873,steve@att.net,FALSE,Biomedical Science
JONES,KASEY,Damon,19617,219615,9,(483) 581-5443,F,2025,73 Kingston Street,(309) 289-8276,9/20/2007,(742) 353-1727,malattia@me.com,FALSE,Engineering
JONES,WILFREDO,Jack,15533,195422,9,(208) 571-9996,M,2025,8174 Cottage Dr.,(727) 342-4265,11/1/2007,(576) 463-6351,simone@aol.com,FALSE,Cosmetology 
KLEIN,CHRISTOPHER,Jolee,6341,124860,12,(391) 493-3347,M,2022,9307 Miles Ave.,(312) 850-6326,2/22/2004,(656) 568-4414,chance@optonline.net,FALSE,Architectural Design
KLEIN,ANGEL,Henry,6340,124850,10,(517) 837-5426,M,2024,9309 Joy Ridge Ave.,(226) 929-8297,4/17/2006,(400) 821-3325,jgoerzen@hotmail.com,FALSE,Accounting and Financial Services
LARA,ADRIAN,Olive,15915,197810,10,(845) 350-3737,M,2024,785 Green Street,(695) 909-1805,3/15/2006,(648) 858-6932,kdawson@mac.com,FALSE,Emergency Services
LARA VAZQUEZ,JAYDON,Jackson,14811,190826,9,(912) 629-7827,M,2025,88 Glen Creek Ave.,(638) 533-8832,9/14/2007,(490) 786-9072,campware@live.com,FALSE,Culinary Arts
LEON RIVERO,HECTOR,Aaron,14741,190374,9,(271) 986-8669,M,2025,8873 Devonshire Dr.,(830) 482-3926,1/10/2007,(935) 779-6320,carmena@aol.com,FALSE,Legal Studies
LEWIS,JENNIFER,Everett,6410,125537,10,(449) 539-0788,F,2024,93 Saxton St.,(953) 977-3727,12/1/2006,(943) 777-3197,odlyzko@live.com,FALSE,Law Enforcement
LEWIS,PERLA,Carleen,6371,125155,10,(327) 526-5811,F,2024,93 Walnutwood St.,(736) 290-2989,1/3/2006,(547) 604-3991,munjal@hotmail.com,FALSE,Programming and Software Development
LOPEZ,NIA,Blake,29025,267135,10,(489) 568-3569,F,2024,39 Briarwood St.,(979) 619-1382,10/10/2006,(289) 618-7183,marin@gmail.com,FALSE,Healthcare Informatics
LOPEZ,ALBERTO,Seth,28098,262835,9,(501) 672-3245,M,2025,51 Tunnel Ave.,(762) 828-3176,3/14/2007,(246) 273-8989,pereinar@msn.com,FALSE,Healthcare Therapeutic
LOVE,SHARY,Orlando,30992,276039,9,(750) 833-0986,F,2025,306 N. Rockland Court,(432) 953-6067,5/18/2007,(668) 452-1408,sthomas@comcast.net,FALSE,Accounting and Financial Services
LOVE,ALEXANDER,Payten,6438,125811,11,(512) 585-5837,M,2023,9279 Academy Street,(741) 910-3764,5/8/2005,(233) 906-8386,vlefevre@aol.com,TRUE,Diesel and Heavy Equipment
LUBBECK,SANIYA,Korin,31488,278239,9,(941) 830-8448,F,2025,3 Bayberry Dr.,(559) 818-3720,12/14/2007,(235) 393-7247,frosal@att.net,FALSE,Culinary Arts
LUNA,ISAIAH,Sutton,30340,273120,9,(475) 290-6290,M,2025,354 SW. Tunnel Street,(894) 590-7471,5/4/2007,(853) 438-1647,kludge@gmail.com,FALSE,Animal Science
LUNA,CYNCERE,Love,27355,259336,9,(735) 565-9507,F,2025,54 North Coffee Street,(300) 489-5433,11/1/2007,(276) 991-1877,cosimo@optonline.net,FALSE,Engineering
MACK,GABRIELA,Levi,6471,126133,10,(583) 895-0895,F,2024,9250 Brandywine Dr.,(222) 638-8988,1/13/2006,(665) 854-2193,fbriere@aol.com,FALSE,Healthcare Therapeutic
MACK,CRISTIAN,Kaitlin,6455,125977,10,(622) 631-9063,M,2024,9266 N. Hickory Ave.,(446) 316-0694,11/19/2006,(247) 359-6517,phish@msn.com,FALSE,Animal Science
MAGALLON CHAVEZ,QUINCY,Michael,25979,252730,12,(382) 574-4336,M,2022,598 Spring St.,(655) 515-5694,1/20/2004,(614) 516-5334,mbalazin@msn.com,FALSE,Electrical
MARIN HERNANDEZ,DANIEL,Juliet,14694,190071,9,(318) 460-4433,M,2025,89 Hillside St.,(980) 689-1018,10/12/2007,(828) 763-1854,alhajj@verizon.net,FALSE,Healthcare Informatics
MARROQUIN RAMOS,OCTAVIO,Gregory,23634,241054,12,(668) 438-2537,M,2022,64 Pennsylvania St.,(411) 213-1846,5/10/2004,(763) 875-0746,aardo@gmail.com,TRUE,Healthcare Informatics
MARTINEZ,DANQUINEASHA,Judd,34097,289537,11,(615) 729-0381,F,2023,13 South Trenton St.,(287) 400-2188,3/12/2005,(772) 845-4478,sagal@gmail.com,FALSE,Electrical
MARTINEZ,DESTINY,Paul,33534,287136,11,(560) 981-5703,F,2023,183 Wood St.,(535) 895-9833,9/19/2005,(560) 603-2684,microfab@gmail.com,FALSE,Welding
MARTINEZ,LUIS,Ellory,21622,230565,9,(675) 459-1981,M,2025,710 Middle River Court,(645) 997-7917,2/19/2007,(649) 517-5342,petersko@comcast.net,FALSE,Plumbing and Piperfitting
MARTINEZ,RUBY,Jaidyn,15601,195849,9,(436) 761-6596,F,2025,8 South Bedford Road,(223) 379-4258,12/22/2007,(351) 960-6194,dkrishna@live.com,FALSE,Emergency Services
MARTINEZ,SIAH,Kingston,15193,193271,10,(944) 425-1659,F,2024,8379 Virginia Rd.,(661) 501-9009,10/17/2006,(377) 824-6604,ivoibs@outlook.com,FALSE,Teaching and Training
MARTINEZ,ZAHIR,Berlynn,6526,126668,10,(804) 360-3955,M,2024,9235 Park Rd.,(417) 637-8466,3/9/2006,(857) 273-9720,steve@me.com,FALSE,Automotive
MARTINEZ MEDINA,JORDAN,Varian,23106,238346,10,(460) 733-1711,M,2024,668 S. Prince Ave.,(768) 724-4655,11/11/2006,(819) 291-6418,tubajon@sbcglobal.net,FALSE,Law Enforcement
MARTINEZ MEJIA,MARKETTA,Troy,33624,287521,11,(792) 365-1942,F,2023,177 East Brookside Street,(216) 880-7772,9/1/2005,(864) 898-6451,ntegrity@verizon.net,FALSE,Animal Science
MATA,JULIUS,Tavian,32073,280812,10,(316) 806-2066,M,2024,25 Rocky River Street,(957) 398-2428,7/26/2006,(958) 536-9061,mstrout@me.com,FALSE,Accounting and Financial Services
MAXWELL,GALILEA,Paul,14869,191199,9,(433) 500-8638,F,2025,8729 Hawthorne Dr.,(253) 548-9378,4/6/2007,(892) 581-3932,froodian@mac.com,FALSE,Healthcare Informatics
MAXWELL,DANIELA,Candice,6539,126794,10,(734) 595-1482,F,2024,9232 Newbridge Drive,(203) 377-7379,2/9/2006,(503) 534-7527,parsimony@yahoo.ca,FALSE,Teaching and Training
MAY,DIGNA,Gavin,30819,275267,12,(865) 411-5800,F,2022,32 Catherine Court,(783) 500-8481,12/18/2004,(423) 541-3244,tbusch@sbcglobal.net,FALSE,Architectural Design
MAY,RICARDO,Adelaide,23791,241853,11,(748) 698-0022,M,2023,625 West Arrowhead Street,(405) 320-6471,11/25/2005,(245) 459-4721,blixem@optonline.net,FALSE,Plumbing and Piperfitting
MCCARTHY,LISSET,Glenn,32862,284245,11,(299) 292-4169,F,2023,20A Mayflower Drive,(780) 741-1883,7/14/2005,(713) 573-5139,sakusha@icloud.com,FALSE,Automotive
MCCARTHY,SEBASTIAN,Devon,20513,224574,9,(827) 345-2920,M,2025,718 Cooper Drive,(424) 520-3898,6/8/2007,(352) 906-1332,niknejad@mac.com,FALSE,Cosmetology 
MCCORMICK,EMILY,Joan,32307,281834,9,(458) 894-3292,F,2025,24 Border Ave.,(379) 977-2038,10/11/2007,(990) 976-9967,miami@yahoo.com,FALSE,Plumbing and Piperfitting
MCCORMICK,BRYCE,Louis,3327,90442,12,(201) 465-9058,M,2022,9861 Gregory Drive,(544) 887-2273,2/5/2004,(591) 696-8691,wojciech@gmail.com,FALSE,Applied Agricultural Engineering
MCDANIEL,THADDEUS,Haiden,32022,280588,10,(987) 663-4103,M,2024,26 Plymouth St.,(861) 269-8492,6/20/2006,(266) 214-2660,wetter@att.net,FALSE,Electrical
MCDANIEL,DANYELLE,Harrison,31652,278963,10,(559) 839-7848,F,2024,294 Winding Way Avenue,(901) 475-8905,4/9/2006,(339) 643-7104,morain@yahoo.com,FALSE,Automotive
MCGEE,BRANDON,Grey,32732,283682,11,(628) 961-3632,M,2023,225 El Dorado St.,(708) 239-9996,7/5/2005,(316) 884-1652,garland@verizon.net,FALSE,Architectural Design
MCGEE,AKHILLIUS,Chase,28612,265228,9,(954) 628-2838,M,2025,446 State Dr.,(300) 810-4797,9/23/2007,(649) 231-8187,bonmots@icloud.com,FALSE,Legal Studies
MEDINA DELGADILLO,RICARDO,Harriet,6796,129262,12,(458) 521-2698,M,2022,9222 Hudson St.,(735) 703-6481,10/26/2004,(460) 426-3854,willg@att.net,FALSE,Accounting and Financial Services
MEJIA,ALYSSA,Carmden,34610,291707,9,(439) 647-2406,F,2025,1 Applegate Rd.,(434) 856-4996,10/9/2007,(653) 793-9624,jbailie@optonline.net,FALSE,Cybersecurity
MEJIA DOMINGUEZ,KRISTOPHER,Adele,20409,224004,11,(806) 975-3117,M,2023,721 Devonshire Street,(662) 490-4035,5/20/2005,(567) 239-3214,grdschl@msn.com,FALSE,Nursing Science
MENDEZ,ALEXIS,Julina,32545,282870,10,(871) 470-7149,F,2024,236 Creek St.,(609) 599-4073,9/26/2006,(490) 643-3891,bdthomas@icloud.com,FALSE,Programming and Software Development
MENDOZA,JASMINE,Will,28511,264759,9,(542) 997-3119,F,2025,453 Richardson Dr.,(904) 879-8689,11/16/2007,(833) 262-5633,josem@optonline.net,FALSE,Plant Science
MENDOZA,EDUARDO,Bailey,21010,227278,10,(669) 694-8433,M,2024,711 Harvard St.,(761) 363-6249,5/2/2006,(557) 783-6821,tristan@optonline.net,FALSE,Plant Science
MENDOZA,JUSTIN,Josiah,18807,215033,12,(764) 621-0883,M,2022,7549 South Glen Creek Ave.,(500) 740-8594,6/23/2004,(222) 524-0779,larry@outlook.com,FALSE,Applied Agricultural Engineering
MENDOZA,IYANNA,Leo,18581,213737,9,(696) 959-0701,F,2025,7702 East Adams Dr.,(415) 407-9528,10/12/2007,(827) 502-1105,flavell@hotmail.com,FALSE,Animal Science
MENDOZA BAUTISTA,ALEXANDER,Ellice,16776,203090,9,(867) 817-4159,M,2025,7807 Lancaster Street,(820) 728-7169,6/18/2007,(431) 647-2581,tromey@me.com,FALSE,Cybersecurity
MENDOZA MENDEZ,ARIANA,Fawn,2619,80244,12,(362) 361-2261,F,2022,9939 Sherwood Dr.,(439) 464-9036,3/3/2004,(568) 517-7163,xtang@att.net,TRUE,Biomedical Science
MERCY- OGBURN,CHELSEY,Sherleen,31669,279037,12,(410) 951-5475,F,2022,294 1st Dr.,(521) 355-6395,5/7/2004,(378) 577-4763,irving@msn.com,FALSE,Architectural Design
MERRITT,ALEXIS,Aryn,25935,252516,11,(507) 587-0088,F,2023,6 Livingston Avenue,(932) 965-3436,4/18/2005,(598) 264-1283,luebke@comcast.net,FALSE,Applied Agricultural Engineering
MIDDLETON,JAMES,Noah,32766,283829,12,(826) 262-8000,M,2022,22 Glendale Lane,(992) 487-4832,12/6/2004,(701) 623-2798,quantaman@comcast.net,TRUE,Emergency Services
MIDDLETON,JAYLON,Clementine,28672,265506,11,(309) 887-0944,M,2023,440 Aspen St.,(650) 421-1217,2/26/2005,(593) 835-9522,iamcal@gmail.com,FALSE,Culinary Arts
MOFFETT,KERRINTON,Matilda,15228,193493,9,(836) 852-8572,F,2025,8287 Green Lake Street,(262) 294-8733,10/11/2007,(956) 876-9475,jginspace@att.net,FALSE,Healthcare Diagnostics
MONTOYA,KARLA,Annora,2753,82271,10,(281) 668-5284,F,2024,9930 E. Hillcrest Road,(365) 608-9586,12/25/2006,(245) 589-0646,mbswan@verizon.net,FALSE,Design and Multimedia Arts
MOORE,DESTINY,Reagan,26207,253836,10,(541) 656-7488,F,2024,595 Bishop Road,(405) 854-0503,7/22/2006,(956) 389-3269,crimsane@optonline.net,FALSE,Programming and Software Development
MORALES,RAECHEL,Carleen,30237,272656,9,(955) 972-4440,F,2025,363 W. Princess Lane,(741) 224-9283,11/10/2007,(910) 314-7945,tbusch@aol.com,FALSE,Engineering
MORALES,TROY,Blanche,20047,222009,9,(931) 635-8198,M,2025,7242 Proctor Ave.,(563) 496-3956,7/20/2007,(665) 742-3731,fbriere@sbcglobal.net,FALSE,Programming and Software Development
MORALES,EDUARDO,Sullivan,18958,215894,9,(899) 675-8294,M,2025,75 Clark Lane,(210) 600-5252,8/5/2007,(556) 845-7926,fglock@live.com,FALSE,Biomedical Science
MORALES,LUIS,Lee,14736,190342,9,(335) 690-8054,M,2025,89 Devonshire Street,(472) 956-0965,10/10/2007,(979) 441-7514,flaviog@msn.com,FALSE,Electrical
MORRIS,AJIAH,Dezi,28803,266112,9,(384) 639-0805,F,2025,40 North Glenholme St.,(292) 400-1558,10/23/2007,(372) 646-6272,jhardin@mac.com,FALSE,Emergency Services
MORRIS,ELENA,Rebecca,15600,195843,9,(615) 494-8672,F,2025,80 East Fulton Dr.,(707) 265-9450,5/19/2007,(262) 678-9317,earmstro@comcast.net,FALSE,Animal Science
MORRIS,SETH,Love,2905,84512,10,(263) 615-4824,M,2024,990 Front Street,(438) 424-5955,12/11/2006,(651) 429-0396,alhajj@mac.com,FALSE,Electrical
MORRIS,MELINDA,Preston,2877,84103,12,(540) 224-8052,F,2022,9906 Park Street,(260) 715-8647,9/27/2004,(684) 627-7549,cgarcia@mac.com,TRUE,Digital Communications
MORRISON,FABIAN,Timothy,22224,233752,10,(740) 626-9126,M,2024,7 Cedarwood Drive,(843) 656-0132,10/1/2006,(970) 532-9015,krueger@aol.com,FALSE,Diesel and Heavy Equipment
MORRISON,ENRIQUE,Gavin,6900,130247,11,(314) 946-6381,M,2023,92 Branch Ave.,(982) 888-9680,2/7/2005,(653) 418-3217,madler@comcast.net,FALSE,Nursing Science
MOURNING,PAHRIS,Malachi,32584,283040,10,(916) 578-4227,F,2024,235 Bishop Court,(577) 293-1541,5/9/2006,(641) 612-7696,kaiser@me.com,FALSE,Automotive
MUNOZ,PEDRO,Anise,14739,190361,9,(423) 209-4909,M,2025,888 Clark Lane,(446) 452-1885,5/6/2007,(559) 415-6924,stinson@optonline.net,FALSE,Digital Communications
MURRAY,SARAH,Meaghan,25340,249602,9,(853) 752-0418,F,2025,612 East Gates St.,(273) 323-4706,6/15/2007,(795) 345-7368,crobles@aol.com,FALSE,Applied Agricultural Engineering
MURRAY,OFELIA,Jared,23707,241426,9,(257) 808-3681,F,2025,631 Ryan Dr.,(425) 853-3204,12/4/2007,(328) 726-0034,miami@me.com,FALSE,Accounting and Financial Services
NICHOLS,TREVEON,Lane,33770,288145,10,(669) 781-8367,M,2024,150 West Hawthorne Court,(697) 529-0318,5/6/2006,(672) 487-7801,seanq@gmail.com,FALSE,Electrical
NUNEZ,KEONDRE,Haiden,8153,141580,12,(257) 831-4210,M,2022,9 Big Rock Cove St.,(754) 772-8253,1/6/2004,(243) 930-5188,rnelson@live.com,FALSE,Cosmetology 
OGETO,TRAMELL,Georgina,30710,274780,9,(374) 829-9826,M,2025,330 South Shirley St.,(469) 824-0721,4/21/2007,(546) 383-4903,oracle@mac.com,FALSE,Automotive
OGLETREE,XZARIANNA,Doran,26625,255853,10,(433) 477-0678,F,2024,588 Fairway Street,(496) 540-3970,12/6/2006,(946) 387-1019,bescoto@msn.com,FALSE,Biomedical Science
OLIVAS,GIANNI,Jordon,23546,240604,9,(466) 849-6467,M,2025,65 Strawberry Ave.,(253) 631-8390,6/3/2007,(389) 369-5617,glenz@yahoo.com,FALSE,Biomedical Science
