LAST-NAME,FIRST-NAME,MIDDLE-NAME,STUDENT-ID,GRADE,PROGRAM-OF-STUDY,History,GPA,
TAYLOR,CRYSTAL,Jacklyn,28142,12,Applied Agricultural Engineering,English I|English II|Algebra I|Geometry|World Geography|AP World History|Biology|Chemistry|Principles of Agriculture; Food & Natural Resources|Samll Animal Management|Equine Science|Livestock Production,4|3|4|3|3.5|3.5|3|4|4|4|3.5|3|3.5|4,35
THOMSON,REGINALD,Lydon,32050,12,Animal Science,English I|English II|Journalism|Algebra I|Geometry|World Geography|AP World History|Biology|Chemistry|Principles of Arts; Audio/Video Technology; and Communications|Graphic Design and Illustration I,4|4|3|3|3.5|4|4|3.5|3.5|3|3|3|3|3.5,35
VALLE,ALVARO,Suzan,21640,10,Applied Agricultural Engineering,English I|Algebra I|World Geography|Biology|Principles of Architecture,4|3.5|4|3|4,11
VASQUEZ,TYLER,Taye,15770,9,Welding,0,,0
VILLEGAS,VIRGINIA,Preston,27204,12,Welding,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Principles of Architecture|Architectural Design I|Architectural Design II,4|4|4|4|3.5|4|4|4|3|3|3.5|3.5|4|3,33
WADE,ANNABELLA,Benjamin,14842,9,Accounting and Financial Services,0,,0
WAGNER,QUINTEN,Dex,28354,9,Business Management,0,,0
WALKER,EMILY,Grant,23080,10,Architectural Design,English I|Algebra I|World Geography|Biology|Introduction to Welding,4|3|3.5|4|4,11
WALKER,ALEJANDRO,Luke,32910,10,Business Management,English I|Algebra I|World Geography|Biology|Introduction to Welding,4|4|3|3|3.5,11
WALKER,BRIAN,Bailee,20172,10,Digital Communications,English I|Algebra I|World Geography|Biology|Introduction to Welding,4|4|3|3|3.5,11
WALKER,KENNY,Dustin,6840,12,Applied Agricultural Engineering,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|AP World History|Biology|Chemistry|Physics|Principles of Architecture|Architectural Design I|Architectural Design II,4|4|3|3.5|3.5|3.5|4|4|4|3|3.5|3.5,33
WAUDBY,JAKOBE,Neil,28471,10,Animal Science,English I|Algebra I|World Geography|Biology|Introduction to Welding,4|4|3|3|3,9
WHITE,BOBBY,Nevin,25724,10,Digital Communications,English I|Algebra I|World Geography|Biology|Introduction to Welding,4|4|3|3|3,9
WILLIAMS,ODARIUS,Candice,30532,12,Business Management,English I|English II|English III|Algebra I|Geometry|Algebra II|World Geography|World History|Biology|Chemistry|Physics|Principles of Architecture|Architectural Design I|Electrical Technology I,4|4|4|4|4|4|3.5|3.5|3.5|3|3|3|3|3,33
WOODS,FLORENTINO,Cameron,28462,9,Accounting and Financial Services,0,,0
